player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,player_name,position,fw_def
Phil Housley (D),Chicago Blackhawks,80,15,24,39,0.49,34,-3,https://www.eliteprospects.com/player/21377/phil-housley,2001-2002,nhl,Phil Housley,D,DEF
Chris Gratton (C),Buffalo Sabres,82,15,24,39,0.48,75,0,https://www.eliteprospects.com/player/9167/chris-gratton,2001-2002,nhl,Chris Gratton,C,FW
Magnus Arvedson (LW),Ottawa Senators,74,12,27,39,0.53,35,27,https://www.eliteprospects.com/player/705/magnus-arvedson,2001-2002,nhl,Magnus Arvedson,LW,FW
Tomas Kaberle (D),Toronto Maple Leafs,69,10,29,39,0.57,2,5,https://www.eliteprospects.com/player/8542/tomas-kaberle,2001-2002,nhl,Tomas Kaberle,D,DEF
Niklas Sundström (C),San Jose Sharks,73,9,30,39,0.53,50,7,https://www.eliteprospects.com/player/740/niklas-sundstrom,2001-2002,nhl,Niklas Sundström,C,FW
Chris Chelios (D),Detroit Red Wings,79,6,33,39,0.49,126,40,https://www.eliteprospects.com/player/9112/chris-chelios,2001-2002,nhl,Chris Chelios,D,DEF
Dave Andreychuk (LW/RW),Tampa Bay Lightning,82,21,17,38,0.46,109,-12,https://www.eliteprospects.com/player/21425/dave-andreychuk,2001-2002,nhl,Dave Andreychuk,LW/RW,FW
Brad Isbister (LW),New York Islanders,79,17,21,38,0.48,113,1,https://www.eliteprospects.com/player/8705/brad-isbister,2001-2002,nhl,Brad Isbister,LW,FW
Andy Delmore (D),Nashville Predators,73,16,22,38,0.52,22,-13,https://www.eliteprospects.com/player/11566/andy-delmore,2001-2002,nhl,Andy Delmore,D,DEF
Oleg Kvasha (LW),New York Islanders,71,13,25,38,0.54,80,-4,https://www.eliteprospects.com/player/8587/oleg-kvasha,2001-2002,nhl,Oleg Kvasha,LW,FW
Bryan Smolinski (C),Los Angeles Kings,80,13,25,38,0.48,56,7,https://www.eliteprospects.com/player/8887/bryan-smolinski,2001-2002,nhl,Bryan Smolinski,C,FW
Martin Ručinský (LW),totals,75,11,27,38,0.51,42,8,https://www.eliteprospects.com/player/8688/martin-rucinsky,2001-2002,nhl,Martin Ručinský,LW,FW
Vincent Lecavalier (C),Tampa Bay Lightning,76,20,17,37,0.49,61,-18,https://www.eliteprospects.com/player/3667/vincent-lecavalier,2001-2002,nhl,Vincent Lecavalier,C,FW
Curtis Brown (C/LW),Buffalo Sabres,82,20,17,37,0.45,32,-4,https://www.eliteprospects.com/player/9098/curtis-brown,2001-2002,nhl,Curtis Brown,C/LW,FW
Radek Dvorak (RW),New York Rangers,65,17,20,37,0.57,14,-20,https://www.eliteprospects.com/player/8599/radek-dvorak,2001-2002,nhl,Radek Dvorak,RW,FW
Randy Robitaille (C),totals,58,14,23,37,0.64,33,-23,https://www.eliteprospects.com/player/8822/randy-robitaille,2001-2002,nhl,Randy Robitaille,C,FW
Ray Ferraro (C),totals,76,14,23,37,0.49,74,-30,https://www.eliteprospects.com/player/13938/ray-ferraro,2001-2002,nhl,Ray Ferraro,C,FW
Trevor Linden (C),totals,80,13,24,37,0.46,71,-5,https://www.eliteprospects.com/player/8551/trevor-linden,2001-2002,nhl,Trevor Linden,C,FW
Roman Hamrlík (D),New York Islanders,70,11,26,37,0.53,78,7,https://www.eliteprospects.com/player/8607/roman-hamrlik,2001-2002,nhl,Roman Hamrlík,D,DEF
Henrik Sedin (C),Vancouver Canucks,82,16,20,36,0.44,36,9,https://www.eliteprospects.com/player/738/henrik-sedin,2001-2002,nhl,Henrik Sedin,C,FW
Vladimír Országh (RW),Nashville Predators,79,15,21,36,0.46,56,-15,https://www.eliteprospects.com/player/1648/vladimir-orszagh,2001-2002,nhl,Vladimír Országh,RW,FW
Andrei Nikolishin (LW),Washington Capitals,80,13,23,36,0.45,40,-1,https://www.eliteprospects.com/player/19685/andrei-nikolishin,2001-2002,nhl,Andrei Nikolishin,LW,FW
Mattias Öhlund (D),Vancouver Canucks,81,10,26,36,0.44,56,16,https://www.eliteprospects.com/player/749/mattias-ohlund,2001-2002,nhl,Mattias Öhlund,D,DEF
Joé Juneau (C),Montréal Canadiens,70,8,28,36,0.51,10,-3,https://www.eliteprospects.com/player/21390/joe-juneau,2001-2002,nhl,Joé Juneau,C,FW
Daniil Markov (D),Phoenix Coyotes,72,6,30,36,0.5,67,-7,https://www.eliteprospects.com/player/8613/daniil-markov,2001-2002,nhl,Daniil Markov,D,DEF
Brenden Morrow (LW),Dallas Stars,72,17,18,35,0.49,109,12,https://www.eliteprospects.com/player/8960/brenden-morrow,2001-2002,nhl,Brenden Morrow,LW,FW
Martin St-Louis (RW),Tampa Bay Lightning,53,16,19,35,0.66,20,4,https://www.eliteprospects.com/player/8772/martin-st-louis,2001-2002,nhl,Martin St-Louis,RW,FW
Pavel Datsyuk (C),Detroit Red Wings,70,11,24,35,0.5,4,4,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2001-2002,nhl,Pavel Datsyuk,C,FW
Ben Clymer (RW/D),Tampa Bay Lightning,81,14,20,34,0.42,36,-10,https://www.eliteprospects.com/player/8788/ben-clymer,2001-2002,nhl,Ben Clymer,RW/D,DEF
Adrian Aucoin (D),New York Islanders,81,12,22,34,0.42,62,23,https://www.eliteprospects.com/player/5530/adrian-aucoin,2001-2002,nhl,Adrian Aucoin,D,DEF
Todd Marchant (C),Edmonton Oilers,82,12,22,34,0.41,41,7,https://www.eliteprospects.com/player/8532/todd-marchant,2001-2002,nhl,Todd Marchant,C,FW
Travis Green (C),Toronto Maple Leafs,82,11,23,34,0.41,61,13,https://www.eliteprospects.com/player/9168/travis-green,2001-2002,nhl,Travis Green,C,FW
Pavel Kubina (D),Tampa Bay Lightning,82,11,23,34,0.41,106,-22,https://www.eliteprospects.com/player/5519/pavel-kubina,2001-2002,nhl,Pavel Kubina,D,DEF
Wade Redden (D),Ottawa Senators,79,9,25,34,0.43,48,22,https://www.eliteprospects.com/player/8931/wade-redden,2001-2002,nhl,Wade Redden,D,DEF
Derek Morris (D),Calgary Flames,61,4,30,34,0.56,88,-4,https://www.eliteprospects.com/player/8963/derek-morris,2001-2002,nhl,Derek Morris,D,DEF
Alexei Zhitnik (D),Buffalo Sabres,82,1,33,34,0.41,80,-1,https://www.eliteprospects.com/player/8696/alexei-zhitnik,2001-2002,nhl,Alexei Zhitnik,D,DEF
Antti Laaksonen (LW),Minnesota Wild,82,16,17,33,0.4,22,-5,https://www.eliteprospects.com/player/2675/antti-laaksonen,2001-2002,nhl,Antti Laaksonen,LW,FW
Andreas Dackell (LW),Montréal Canadiens,79,15,18,33,0.42,24,-3,https://www.eliteprospects.com/player/709/andreas-dackell,2001-2002,nhl,Andreas Dackell,LW,FW
Grant Marshall (RW),Columbus Blue Jackets,81,15,18,33,0.41,86,-20,https://www.eliteprospects.com/player/8967/grant-marshall,2001-2002,nhl,Grant Marshall,RW,FW
Marc Savard (C),Calgary Flames,56,14,19,33,0.59,48,-18,https://www.eliteprospects.com/player/8574/marc-savard,2001-2002,nhl,Marc Savard,C,FW
Marcus Nilson (W/C),Florida Panthers,81,14,19,33,0.41,55,-14,https://www.eliteprospects.com/player/728/marcus-nilson,2001-2002,nhl,Marcus Nilson,W/C,FW
Matt Cooke (LW),Vancouver Canucks,82,13,20,33,0.4,111,4,https://www.eliteprospects.com/player/8549/matt-cooke,2001-2002,nhl,Matt Cooke,LW,FW
Shayne Corson (LW),Toronto Maple Leafs,74,12,21,33,0.45,120,11,https://www.eliteprospects.com/player/21878/shayne-corson,2001-2002,nhl,Shayne Corson,LW,FW
Scott Niedermayer (D),New Jersey Devils,76,11,22,33,0.43,30,12,https://www.eliteprospects.com/player/8521/scott-niedermayer,2001-2002,nhl,Scott Niedermayer,D,DEF
Martin Erat (RW/LW),Nashville Predators,80,9,24,33,0.41,32,-11,https://www.eliteprospects.com/player/8611/martin-erat,2001-2002,nhl,Martin Erat,RW/LW,FW
Sean Hill (D),totals,72,7,26,33,0.46,89,0,https://www.eliteprospects.com/player/9054/sean-hill,2001-2002,nhl,Sean Hill,D,DEF
Gary Suter (D),San Jose Sharks,82,6,27,33,0.4,57,13,https://www.eliteprospects.com/player/21396/gary-suter,2001-2002,nhl,Gary Suter,D,DEF
Patrice Brisebois (D),Montréal Canadiens,71,4,29,33,0.46,25,9,https://www.eliteprospects.com/player/8781/patrice-brisebois,2001-2002,nhl,Patrice Brisebois,D,DEF
Darryl Sydor (D),Dallas Stars,78,4,29,33,0.42,50,3,https://www.eliteprospects.com/player/8899/darryl-sydor,2001-2002,nhl,Darryl Sydor,D,DEF
Jamie Langenbrunner (RW),totals,82,13,19,32,0.39,77,-9,https://www.eliteprospects.com/player/8742/jamie-langenbrunner,2001-2002,nhl,Jamie Langenbrunner,RW,FW
Kenny Jönsson (D),New York Islanders,76,10,22,32,0.42,26,15,https://www.eliteprospects.com/player/717/kenny-jonsson,2001-2002,nhl,Kenny Jönsson,D,DEF
Daniel Sedin (LW),Vancouver Canucks,79,9,23,32,0.41,32,1,https://www.eliteprospects.com/player/737/daniel-sedin,2001-2002,nhl,Daniel Sedin,LW,FW
Donald Brashear (LW),totals,81,9,23,32,0.4,199,-8,https://www.eliteprospects.com/player/9094/donald-brashear,2001-2002,nhl,Donald Brashear,LW,FW
Oleg Tverdovsky (D),Mighty Ducks of Anaheim,73,6,26,32,0.44,31,0,https://www.eliteprospects.com/player/8656/oleg-tverdovsky,2001-2002,nhl,Oleg Tverdovsky,D,DEF
Adam Graves (LW),San Jose Sharks,81,17,14,31,0.38,51,11,https://www.eliteprospects.com/player/9666/adam-graves,2001-2002,nhl,Adam Graves,LW,FW
Jan Hlavac (LW/RW),totals,77,16,15,31,0.4,18,9,https://www.eliteprospects.com/player/8709/jan-hlavac,2001-2002,nhl,Jan Hlavac,LW/RW,FW
Steve Heinze (RW),Los Angeles Kings,73,15,16,31,0.42,46,-15,https://www.eliteprospects.com/player/30295/steve-heinze,2001-2002,nhl,Steve Heinze,RW,FW
Fredrik Modin (LW),Tampa Bay Lightning,54,14,17,31,0.57,27,0,https://www.eliteprospects.com/player/727/fredrik-modin,2001-2002,nhl,Fredrik Modin,LW,FW
Josef Vasicek (C),Carolina Hurricanes,78,14,17,31,0.4,53,-7,https://www.eliteprospects.com/player/8614/josef-vasicek,2001-2002,nhl,Josef Vasicek,C,FW
Chris Simon (LW),Washington Capitals,82,14,17,31,0.38,137,-8,https://www.eliteprospects.com/player/8882/chris-simon,2001-2002,nhl,Chris Simon,LW,FW
David Výborný (C),Columbus Blue Jackets,75,13,18,31,0.41,6,-14,https://www.eliteprospects.com/player/1920/david-vyborny,2001-2002,nhl,David Výborný,C,FW
Jason Wiemer (C),Florida Panthers,70,11,20,31,0.44,178,-4,https://www.eliteprospects.com/player/8827/jason-wiemer,2001-2002,nhl,Jason Wiemer,C,FW
Martin Skoula (D),Colorado Avalanche,82,10,21,31,0.38,42,-3,https://www.eliteprospects.com/player/8598/martin-skoula,2001-2002,nhl,Martin Skoula,D,DEF
Mario Lemieux (C),Pittsburgh Penguins,24,6,25,31,1.29,14,0,https://www.eliteprospects.com/player/9679/mario-lemieux,2001-2002,nhl,Mario Lemieux,C,FW
Radim Vrbata (RW/LW),Colorado Avalanche,52,18,12,30,0.58,14,7,https://www.eliteprospects.com/player/8626/radim-vrbata,2001-2002,nhl,Radim Vrbata,RW/LW,FW
Kris Draper (C),Detroit Red Wings,82,15,15,30,0.37,56,26,https://www.eliteprospects.com/player/9142/kris-draper,2001-2002,nhl,Kris Draper,C,FW
David Legwand (C),Nashville Predators,63,11,19,30,0.48,54,1,https://www.eliteprospects.com/player/3668/david-legwand,2001-2002,nhl,David Legwand,C,FW
Wes Walz (C),Minnesota Wild,64,10,20,30,0.47,43,0,https://www.eliteprospects.com/player/8803/wes-walz,2001-2002,nhl,Wes Walz,C,FW
Kirk Muller (C),Dallas Stars,78,10,20,30,0.38,28,-12,https://www.eliteprospects.com/player/22413/kirk-muller,2001-2002,nhl,Kirk Muller,C,FW
Mathieu Schneider (D),Los Angeles Kings,55,7,23,30,0.55,68,3,https://www.eliteprospects.com/player/8875/mathieu-schneider,2001-2002,nhl,Mathieu Schneider,D,DEF
Philippe Boucher (D),Los Angeles Kings,80,7,23,30,0.38,94,0,https://www.eliteprospects.com/player/9087/philippe-boucher,2001-2002,nhl,Philippe Boucher,D,DEF
Ivan Novoseltsev (LW),Florida Panthers,70,13,16,29,0.41,44,-10,https://www.eliteprospects.com/player/12236/ivan-novoseltsev,2001-2002,nhl,Ivan Novoseltsev,LW,FW
Martin Gélinas (LW),Carolina Hurricanes,72,13,16,29,0.4,30,-1,https://www.eliteprospects.com/player/8787/martin-gelinas,2001-2002,nhl,Martin Gélinas,LW,FW
Daniel Cleary (LW/RW),Edmonton Oilers,65,10,19,29,0.45,51,-1,https://www.eliteprospects.com/player/4376/daniel-cleary,2001-2002,nhl,Daniel Cleary,LW/RW,FW
Michal Rozsíval (D),Pittsburgh Penguins,79,9,20,29,0.37,47,-6,https://www.eliteprospects.com/player/8687/michal-rozsival,2001-2002,nhl,Michal Rozsíval,D,DEF
Olli Jokinen (C),Florida Panthers,80,9,20,29,0.36,98,-16,https://www.eliteprospects.com/player/2679/olli-jokinen,2001-2002,nhl,Olli Jokinen,C,FW
Igor Korolyov (C),Chicago Blackhawks,82,9,20,29,0.35,20,-5,https://www.eliteprospects.com/player/18257/igor-korolyov,2001-2002,nhl,Igor Korolyov,C,FW
Robert Svehla (D),Florida Panthers,82,7,22,29,0.35,87,-19,https://www.eliteprospects.com/player/1909/robert-svehla,2001-2002,nhl,Robert Svehla,D,DEF
Brad Stuart (D),San Jose Sharks,82,6,23,29,0.35,39,13,https://www.eliteprospects.com/player/3669/brad-stuart,2001-2002,nhl,Brad Stuart,D,DEF
Stéphane Richer (LW),totals,68,14,14,28,0.41,14,-9,https://www.eliteprospects.com/player/22800/stephane-richer,2001-2002,nhl,Stéphane Richer,LW,FW
Mark Bell (C/LW),Chicago Blackhawks,80,12,16,28,0.35,124,-6,https://www.eliteprospects.com/player/8765/mark-bell,2001-2002,nhl,Mark Bell,C/LW,FW
Marty McInnis (C),totals,79,11,17,28,0.35,33,-15,https://www.eliteprospects.com/player/31743/marty-mcinnis,2001-2002,nhl,Marty McInnis,C,FW
Niklas Hagman (LW),Florida Panthers,78,10,18,28,0.36,8,-6,https://www.eliteprospects.com/player/2680/niklas-hagman,2001-2002,nhl,Niklas Hagman,LW,FW
Jason Woolley (D),Buffalo Sabres,59,8,20,28,0.47,34,-6,https://www.eliteprospects.com/player/8833/jason-woolley,2001-2002,nhl,Jason Woolley,D,DEF
Andy McDonald (C),Mighty Ducks of Anaheim,53,7,21,28,0.53,10,2,https://www.eliteprospects.com/player/8527/andy-mcdonald,2001-2002,nhl,Andy McDonald,C,FW
Toni Lydman (D),Calgary Flames,79,6,22,28,0.35,52,-8,https://www.eliteprospects.com/player/2678/toni-lydman,2001-2002,nhl,Toni Lydman,D,DEF
Vladimir Malakhov (D),New York Rangers,81,6,22,28,0.35,83,10,https://www.eliteprospects.com/player/8700/vladimir-malakhov,2001-2002,nhl,Vladimir Malakhov,D,DEF
Pascal Dupuis (LW),Minnesota Wild,76,15,12,27,0.36,16,-10,https://www.eliteprospects.com/player/8789/pascal-dupuis,2001-2002,nhl,Pascal Dupuis,LW,FW
German Titov (C),Mighty Ducks of Anaheim,66,13,14,27,0.41,36,4,https://www.eliteprospects.com/player/32587/german-titov,2001-2002,nhl,German Titov,C,FW
Lubos Bartecko (LW),Atlanta Thrashers,71,13,14,27,0.38,30,-15,https://www.eliteprospects.com/player/5854/lubos-bartecko,2001-2002,nhl,Lubos Bartecko,LW,FW
Craig Johnson (LW),Los Angeles Kings,72,13,14,27,0.38,24,14,https://www.eliteprospects.com/player/14815/craig-johnson,2001-2002,nhl,Craig Johnson,LW,FW
Marty Murray (C),Philadelphia Flyers,74,12,15,27,0.36,10,10,https://www.eliteprospects.com/player/8835/marty-murray,2001-2002,nhl,Marty Murray,C,FW
Dave Scatchard (C),New York Islanders,80,12,15,27,0.34,111,-4,https://www.eliteprospects.com/player/8873/dave-scatchard,2001-2002,nhl,Dave Scatchard,C,FW
Jiri Dopita (C),Philadelphia Flyers,52,11,16,27,0.52,8,9,https://www.eliteprospects.com/player/10873/jiri-dopita,2001-2002,nhl,Jiri Dopita,C,FW
Ville Nieminen (LW/RW),totals,66,11,16,27,0.41,38,-1,https://www.eliteprospects.com/player/2661/ville-nieminen,2001-2002,nhl,Ville Nieminen,LW/RW,FW
Vitaly Yachmenyov (RW),Nashville Predators,75,11,16,27,0.36,14,-16,https://www.eliteprospects.com/player/16742/vitaly-yachmenyov,2001-2002,nhl,Vitaly Yachmenyov,RW,FW
Viktor Kozlov (C/RW),Florida Panthers,50,9,18,27,0.54,20,-16,https://www.eliteprospects.com/player/8699/viktor-kozlov,2001-2002,nhl,Viktor Kozlov,C/RW,FW
Rem Murray (C),totals,80,8,19,27,0.34,18,-4,https://www.eliteprospects.com/player/9668/rem-murray,2001-2002,nhl,Rem Murray,C,FW
Adam Foote (D),Colorado Avalanche,55,5,22,27,0.49,55,7,https://www.eliteprospects.com/player/9157/adam-foote,2001-2002,nhl,Adam Foote,D,DEF
Mike Johnson (RW),Phoenix Coyotes,57,5,22,27,0.47,28,14,https://www.eliteprospects.com/player/5687/mike-johnson,2001-2002,nhl,Mike Johnson,RW,FW
Ruslan Fedotenko (LW),Philadelphia Flyers,78,17,9,26,0.33,43,15,https://www.eliteprospects.com/player/8638/ruslan-fedotenko,2001-2002,nhl,Ruslan Fedotenko,LW,FW
Sergei Berezin (LW),totals,70,11,15,26,0.37,8,2,https://www.eliteprospects.com/player/31446/sergei-berezin,2001-2002,nhl,Sergei Berezin,LW,FW
Dallas Drake (LW),St. Louis Blues,80,11,15,26,0.33,87,8,https://www.eliteprospects.com/player/9141/dallas-drake,2001-2002,nhl,Dallas Drake,LW,FW
Dan Boyle (D),totals,66,8,18,26,0.39,39,-16,https://www.eliteprospects.com/player/5369/dan-boyle,2001-2002,nhl,Dan Boyle,D,DEF
Tomas Holmström (RW),Detroit Red Wings,69,8,18,26,0.38,58,-12,https://www.eliteprospects.com/player/712/tomas-holmstrom,2001-2002,nhl,Tomas Holmström,RW,FW
Igor Kravchuk (D),Calgary Flames,78,4,22,26,0.33,19,3,https://www.eliteprospects.com/player/27220/igor-kravchuk,2001-2002,nhl,Igor Kravchuk,D,DEF
Zdeno Cíger (LW),totals,56,12,13,25,0.45,26,-15,https://www.eliteprospects.com/player/69982/zdeno-ciger,2001-2002,nhl,Zdeno Cíger,LW,FW
Rob Zamuner (LW),Boston Bruins,66,12,13,25,0.38,24,6,https://www.eliteprospects.com/player/38173/rob-zamuner,2001-2002,nhl,Rob Zamuner,LW,FW
Richard Park (RW/C),Minnesota Wild,63,10,15,25,0.4,10,-1,https://www.eliteprospects.com/player/5214/richard-park,2001-2002,nhl,Richard Park,RW/C,FW
Kris Beech (C),Pittsburgh Penguins,79,10,15,25,0.32,45,-25,https://www.eliteprospects.com/player/8429/kris-beech,2001-2002,nhl,Kris Beech,C,FW
Hnat Domenichelli (LW),totals,67,9,16,25,0.37,44,-23,https://www.eliteprospects.com/player/10650/hnat-domenichelli,2001-2002,nhl,Hnat Domenichelli,LW,FW
Trevor Letowski (RW),totals,75,9,16,25,0.33,19,4,https://www.eliteprospects.com/player/8777/trevor-letowski,2001-2002,nhl,Trevor Letowski,RW,FW
Boyd Devereaux (LW),Detroit Red Wings,79,9,16,25,0.32,24,9,https://www.eliteprospects.com/player/9135/boyd-devereaux,2001-2002,nhl,Boyd Devereaux,LW,FW
Brent Sopel (D),Vancouver Canucks,66,8,17,25,0.38,44,21,https://www.eliteprospects.com/player/10229/brent-sopel,2001-2002,nhl,Brent Sopel,D,DEF
Mike Grier (RW),Edmonton Oilers,82,8,17,25,0.3,32,1,https://www.eliteprospects.com/player/9171/mike-grier,2001-2002,nhl,Mike Grier,RW,FW
Craig Rivet (D),Montréal Canadiens,82,8,17,25,0.3,76,1,https://www.eliteprospects.com/player/8719/craig-rivet,2001-2002,nhl,Craig Rivet,D,DEF
Deron Quint (D),Columbus Blue Jackets,75,7,18,25,0.33,26,-34,https://www.eliteprospects.com/player/11363/deron-quint,2001-2002,nhl,Deron Quint,D,DEF
Eric Brewer (D),Edmonton Oilers,81,7,18,25,0.31,45,-5,https://www.eliteprospects.com/player/9095/eric-brewer,2001-2002,nhl,Eric Brewer,D,DEF
Éric Desjardins (D),Philadelphia Flyers,65,6,19,25,0.38,24,-1,https://www.eliteprospects.com/player/9133/eric-desjardins,2001-2002,nhl,Éric Desjardins,D,DEF
Frantisek Kaberle (D),Atlanta Thrashers,61,5,20,25,0.41,24,-11,https://www.eliteprospects.com/player/1919/frantisek-kaberle,2001-2002,nhl,Frantisek Kaberle,D,DEF
Jason York (D),Mighty Ducks of Anaheim,74,5,20,25,0.34,60,-11,https://www.eliteprospects.com/player/10236/jason-york,2001-2002,nhl,Jason York,D,DEF
Derian Hatcher (D),Dallas Stars,80,4,21,25,0.31,87,12,https://www.eliteprospects.com/player/8842/derian-hatcher,2001-2002,nhl,Derian Hatcher,D,DEF
Sean O'Donnell (D),Boston Bruins,80,3,22,25,0.31,89,27,https://www.eliteprospects.com/player/8537/sean-o-donnell,2001-2002,nhl,Sean O'Donnell,D,DEF
Tom Poti (D),totals,66,2,23,25,0.38,44,-10,https://www.eliteprospects.com/player/8918/tom-poti,2001-2002,nhl,Tom Poti,D,DEF
Mike Fisher (C),Ottawa Senators,58,15,9,24,0.41,55,8,https://www.eliteprospects.com/player/8771/mike-fisher,2001-2002,nhl,Mike Fisher,C,FW
Andreas Johansson (LW),New York Rangers,70,14,10,24,0.34,46,6,https://www.eliteprospects.com/player/696/andreas-johansson,2001-2002,nhl,Andreas Johansson,LW,FW
Tyler Wright (C),Columbus Blue Jackets,77,13,11,24,0.31,100,-40,https://www.eliteprospects.com/player/9669/tyler-wright,2001-2002,nhl,Tyler Wright,C,FW
Shane Willis (RW),totals,80,11,13,24,0.3,30,-8,https://www.eliteprospects.com/player/7307/shane-willis,2001-2002,nhl,Shane Willis,RW,FW
Yannick Tremblay (D),Atlanta Thrashers,66,9,15,24,0.36,47,-15,https://www.eliteprospects.com/player/11032/yannick-tremblay,2001-2002,nhl,Yannick Tremblay,D,DEF
Darby Hendrickson (C),Minnesota Wild,68,9,15,24,0.35,50,-22,https://www.eliteprospects.com/player/23275/darby-hendrickson,2001-2002,nhl,Darby Hendrickson,C,FW
Kirk Maltby (LW),Detroit Red Wings,82,9,15,24,0.29,40,15,https://www.eliteprospects.com/player/8954/kirk-maltby,2001-2002,nhl,Kirk Maltby,LW,FW
Éric Bélanger (C),Los Angeles Kings,53,8,16,24,0.45,21,2,https://www.eliteprospects.com/player/8758/eric-belanger,2001-2002,nhl,Éric Bélanger,C,FW
Petr Tenkrát (RW),totals,67,8,16,24,0.36,34,-10,https://www.eliteprospects.com/player/3730/petr-tenkrat,2001-2002,nhl,Petr Tenkrát,RW,FW
Kip Miller (LW),New York Islanders,37,7,17,24,0.65,6,2,https://www.eliteprospects.com/player/24270/kip-miller,2001-2002,nhl,Kip Miller,LW,FW
Paul Mara (D),Phoenix Coyotes,75,7,17,24,0.32,58,-6,https://www.eliteprospects.com/player/8566/paul-mara,2001-2002,nhl,Paul Mara,D,DEF
Per-Johan Axelsson (LW),Boston Bruins,78,7,17,24,0.31,16,6,https://www.eliteprospects.com/player/694/per-johan-axelsson,2001-2002,nhl,Per-Johan Axelsson,LW,FW
Andrei Markov (D),Montréal Canadiens,56,5,19,24,0.43,24,-1,https://www.eliteprospects.com/player/8579/andrei-markov,2001-2002,nhl,Andrei Markov,D,DEF
Filip Kuba (D),Minnesota Wild,62,5,19,24,0.39,32,-6,https://www.eliteprospects.com/player/8639/filip-kuba,2001-2002,nhl,Filip Kuba,D,DEF
Lubomir Sekeras (D),Minnesota Wild,69,4,20,24,0.35,38,-7,https://www.eliteprospects.com/player/3674/lubomir-sekeras,2001-2002,nhl,Lubomir Sekeras,D,DEF
Eric Weinrich (D),Philadelphia Flyers,80,4,20,24,0.3,26,27,https://www.eliteprospects.com/player/8706/eric-weinrich,2001-2002,nhl,Eric Weinrich,D,DEF
Alexander Khavanov (D),St. Louis Blues,81,3,21,24,0.3,55,9,https://www.eliteprospects.com/player/8659/alexander-khavanov,2001-2002,nhl,Alexander Khavanov,D,DEF
John Madden (C),New Jersey Devils,82,15,8,23,0.28,25,6,https://www.eliteprospects.com/player/8723/john-madden,2001-2002,nhl,John Madden,C,FW
Zdeno Chára (D),Ottawa Senators,75,10,13,23,0.31,156,30,https://www.eliteprospects.com/player/4530/zdeno-chara,2001-2002,nhl,Zdeno Chára,D,DEF
Sandy McCarthy (RW),New York Rangers,82,10,13,23,0.28,171,-8,https://www.eliteprospects.com/player/25706/sandy-mccarthy,2001-2002,nhl,Sandy McCarthy,RW,FW
Benoit Brunet (LW),totals,61,9,14,23,0.38,12,-3,https://www.eliteprospects.com/player/69479/benoit-brunet,2001-2002,nhl,Benoit Brunet,LW,FW
Chad Kilger (LW/C),Montréal Canadiens,75,8,15,23,0.31,27,-7,https://www.eliteprospects.com/player/9015/chad-kilger,2001-2002,nhl,Chad Kilger,LW/C,FW
Steve Rucchin (C),Mighty Ducks of Anaheim,38,7,16,23,0.61,6,-3,https://www.eliteprospects.com/player/8555/steve-rucchin,2001-2002,nhl,Steve Rucchin,C,FW
Mark Messier (C),New York Rangers,41,7,16,23,0.56,32,-1,https://www.eliteprospects.com/player/21309/mark-messier,2001-2002,nhl,Mark Messier,C,FW
Patrik Stefan (C),Atlanta Thrashers,59,7,16,23,0.39,22,-4,https://www.eliteprospects.com/player/3666/patrik-stefan,2001-2002,nhl,Patrik Stefan,C,FW
Vaclav Varada (RW),Buffalo Sabres,76,7,16,23,0.3,82,-7,https://www.eliteprospects.com/player/8661/vaclav-varada,2001-2002,nhl,Vaclav Varada,RW,FW
Marek Malík (D),Carolina Hurricanes,82,4,19,23,0.28,88,8,https://www.eliteprospects.com/player/1907/marek-malik,2001-2002,nhl,Marek Malík,D,DEF
Bryan Berard (D),New York Rangers,82,2,21,23,0.28,60,-1,https://www.eliteprospects.com/player/9078/bryan-berard,2001-2002,nhl,Bryan Berard,D,DEF
Krys Kolanos (C/W),Phoenix Coyotes,57,11,11,22,0.39,48,6,https://www.eliteprospects.com/player/8716/krys-kolanos,2001-2002,nhl,Krys Kolanos,C/W,FW
Pascal Rhéaume (C/LW),totals,61,11,11,22,0.36,29,-4,https://www.eliteprospects.com/player/9743/pascal-rheaume,2001-2002,nhl,Pascal Rhéaume,C/LW,FW
Brad May (LW),Phoenix Coyotes,72,10,12,22,0.31,95,11,https://www.eliteprospects.com/player/8971/brad-may,2001-2002,nhl,Brad May,LW,FW
Vyacheslav Kozlov (LW),Buffalo Sabres,38,9,13,22,0.58,16,0,https://www.eliteprospects.com/player/8544/vyacheslav-kozlov,2001-2002,nhl,Vyacheslav Kozlov,LW,FW
Matt Bradley (RW/LW),San Jose Sharks,54,9,13,22,0.41,43,22,https://www.eliteprospects.com/player/9093/matt-bradley,2001-2002,nhl,Matt Bradley,RW/LW,FW
Todd Harvey (RW),San Jose Sharks,69,9,13,22,0.32,73,16,https://www.eliteprospects.com/player/9044/todd-harvey,2001-2002,nhl,Todd Harvey,RW,FW
Tomi Kallio (RW),Atlanta Thrashers,60,8,14,22,0.37,12,-8,https://www.eliteprospects.com/player/2092/tomi-kallio,2001-2002,nhl,Tomi Kallio,RW,FW
Shawn Horcoff (C),Edmonton Oilers,61,8,14,22,0.36,18,3,https://www.eliteprospects.com/player/4375/shawn-horcoff,2001-2002,nhl,Shawn Horcoff,C,FW
